District_Name,UnitName,FIR_YEAR,FIR_MONTH,FIR_Day,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,Place of Offence,Male,Female,Boy,Girl,VICTIM COUNT,Accused Count,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count
Vijayapur,Vijayapur Rural PS,2021,3,18,Non Heinous,Convicted,Online,THEFT,Chain Snatching,12.545316,76.824374,IPC Section 316,G.H.KUPPI (PSI),"Near Main Market / Junction, Vijayapur",0,1,0,0,1,1,0,0,1
Kodagu,Kodagu Cyber Crime PS,2023,3,10,Non Heinous,Dis/Acq,Typed,NARCOTICS,Drug Peddling,16.3196,74.19898,IPC Section 433,K.V.RAMESH (PI),"Near Main Market / Junction, Kodagu",0,1,0,0,1,2,2,2,0
Bengaluru Rural,Bengaluru Rural Rural PS,2024,10,22,Non Heinous,Pending Trial,Oral,RIOTS,Group Clash,12.704332,74.129631,IPC Section 426,R S BIRADAR (PI),"Near Main Market / Junction, Bengaluru Rural",1,0,0,1,1,1,1,0,0
Chitradurga,Chitradurga Cyber Crime PS,2021,4,5,Non Heinous,Traced,Written,RIOTS,Communal Riots,17.17059,74.58863,IPC Section 384,N.S.KUMAR (PSI),"Near Main Market / Junction, Chitradurga",0,2,0,0,2,3,3,1,0
Mysuru City,Mysuru City Rural PS,2023,6,14,Non Heinous,Traced,Online,THEFT,Pickpocketing,12.041081,78.186162,IPC Section 417,R S BIRADAR (PI),"Near Main Market / Junction, Mysuru City",0,3,0,0,3,1,1,1,0
Kalaburagi,Kalaburagi Traffic PS,2022,1,22,Non Heinous,Pending Trial,Written,ASSAULT,Assault on Women,14.075557,78.091596,IPC Section 378,A.K.NAIK (PI),"Near Main Market / Junction, Kalaburagi",0,2,0,0,2,2,0,1,0
Kolar,Kolar Central PS,2024,8,6,Non Heinous,Pending Trial,Typed,ASSAULT,Grievous Hurt,15.710331,74.632698,IPC Section 361,S.B.DEVAR (PSI),"Near Main Market / Junction, Kolar",2,0,0,0,2,1,0,0,0
Bengaluru Rural,Bengaluru Rural Cyber Crime PS,2025,4,19,Non Heinous,BoundOver,Oral,THEFT,Theft from House,14.9866,75.448799,IPC Section 357,S.B.DEVAR (PSI),"Near Main Market / Junction, Bengaluru Rural",2,0,0,0,2,1,0,0,0
Davanagere,Davanagere Cyber Crime PS,2023,6,18,Heinous,Convicted,Typed,MURDER,Murder for Gain,13.143287,75.264369,IPC Section 451,N.S.KUMAR (PSI),"Near Main Market / Junction, Davanagere",0,1,0,0,1,2,1,1,2
Kodagu,Kodagu Central PS,2023,3,14,Non Heinous,Traced,Written,ASSAULT,Assault on Women,18.091219,77.730416,IPC Section 413,S.B.DEVAR (PSI),"Near Main Market / Junction, Kodagu",0,1,1,0,1,1,0,1,0
Belagavi Dist,Belagavi Dist Town PS,2023,9,11,Non Heinous,Transfered,Oral,FRAUD,Forgery,16.153367,75.601733,IPC Section 378,G.H.KUPPI (PSI),"Near Main Market / Junction, Belagavi Dist",0,1,0,0,1,2,0,2,0
Ballari,Ballari Town PS,2024,2,8,Heinous,Dis/Acq,Written,MURDER,Murder due to Enmity,14.555108,75.628501,IPC Section 499,S.B.DEVAR (PSI),"Near Main Market / Junction, Ballari",1,1,0,1,2,4,0,3,0
Bengaluru City,Bengaluru City Rural PS,2024,5,11,Non Heinous,UI,Written,ASSAULT,Grievous Hurt,15.049387,77.70135,IPC Section 366,K.V.RAMESH (PI),"Near Main Market / Junction, Bengaluru City",0,2,1,0,2,4,2,2,0
Ramanagara,Ramanagara Central PS,2021,7,10,Heinous,Convicted,Typed,POCSO,Child Abuse,12.034503,77.789197,IPC Section 407,M.S.PATIL (PSI),"Near Main Market / Junction, Ramanagara",0,1,0,0,1,1,1,1,1
Davanagere,Davanagere Rural PS,2025,4,11,Non Heinous,Traced,Online,RIOTS,Political Riots,17.699504,77.859642,IPC Section 425,A.K.NAIK (PI),"Near Main Market / Junction, Davanagere",1,0,0,0,1,1,1,1,0
Yadgir,Yadgir Central PS,2022,7,3,Heinous,Pending Trial,Written,MURDER,Murder for Gain,16.252846,77.078282,IPC Section 353,A.K.NAIK (PI),"Near Main Market / Junction, Yadgir",0,1,0,0,1,4,2,4,0
K.G.F,K.G.F Traffic PS,2023,9,15,Non Heinous,Traced,Typed,THEFT,Pickpocketing,15.699847,77.00219,IPC Section 322,A.K.NAIK (PI),"Near Main Market / Junction, K.G.F",0,3,0,0,3,3,1,1,0
Ramanagara,Ramanagara Cyber Crime PS,2024,4,5,Non Heinous,Pending Trial,Online,ASSAULT,Grievous Hurt,17.619833,76.642928,IPC Section 454,R S BIRADAR (PI),"Near Main Market / Junction, Ramanagara",0,2,0,0,2,1,1,0,0
Bengaluru Rural,Bengaluru Rural Cyber Crime PS,2022,6,5,Heinous,Pending Trial,Typed,POCSO,Child Abuse,14.729334,75.432036,IPC Section 417,S.B.DEVAR (PSI),"Near Main Market / Junction, Bengaluru Rural",3,0,0,0,3,4,3,4,0
Tumakuru,Tumakuru Rural PS,2023,10,3,Non Heinous,Convicted,Written,BURGLARY,House Breaking by Day,11.988681,76.236157,IPC Section 487,M.S.PATIL (PSI),"Near Main Market / Junction, Tumakuru",0,1,0,0,1,2,2,2,2
Raichur,Raichur Central PS,2024,11,7,Heinous,Convicted,Typed,POCSO,POCSO Assault,16.466425,78.145328,IPC Section 415,K.V.RAMESH (PI),"Near Main Market / Junction, Raichur",0,3,0,0,3,2,1,1,1
Mysuru City,Mysuru City Rural PS,2023,11,2,Non Heinous,Convicted,Written,NARCOTICS,Drug Peddling,16.186635,76.511258,IPC Section 500,R S BIRADAR (PI),"Near Main Market / Junction, Mysuru City",2,0,0,0,2,3,0,2,2
Chamarajanagar,Chamarajanagar Town PS,2022,7,3,Non Heinous,Compounded,Oral,CYBER CRIME,Social Media Harassment,17.674784,77.733234,IPC Section 486,M.S.PATIL (PSI),"Near Main Market / Junction, Chamarajanagar",0,1,0,0,1,3,3,1,0
Mandya,Mandya Cyber Crime PS,2022,3,1,Non Heinous,Traced,Oral,NARCOTICS,Ganja Seizure,15.634037,74.680971,IPC Section 318,S.B.DEVAR (PSI),"Near Main Market / Junction, Mandya",1,2,0,0,3,1,1,0,0
Hassan,Hassan Traffic PS,2024,3,11,Heinous,Convicted,Online,KIDNAPPING,Abduction,17.374238,75.981964,IPC Section 376,N.S.KUMAR (PSI),"Near Main Market / Junction, Hassan",3,0,0,0,3,1,1,1,1
Gadag,Gadag Town PS,2022,5,24,Heinous,Traced,Written,MURDER,Murder for Gain,14.091244,76.508342,IPC Section 448,S.B.DEVAR (PSI),"Near Main Market / Junction, Gadag",0,3,0,0,3,2,1,2,0
Mysuru City,Mysuru City Town PS,2023,1,7,Non Heinous,Compounded,Online,BURGLARY,Shop Burglary,13.790729,74.862591,IPC Section 349,K.V.RAMESH (PI),"Near Main Market / Junction, Mysuru City",0,2,1,0,2,4,3,2,0
Mangaluru City,Mangaluru City Cyber Crime PS,2024,4,15,Non Heinous,Pending Trial,Oral,THEFT,Motor Vehicle Theft,18.047792,76.796402,IPC Section 478,K.V.RAMESH (PI),"Near Main Market / Junction, Mangaluru City",0,2,0,0,2,3,1,0,0
Raichur,Raichur Rural PS,2022,12,27,Non Heinous,Pending Trial,Written,THEFT,Chain Snatching,16.943145,77.271231,IPC Section 492,N.S.KUMAR (PSI),"Near Main Market / Junction, Raichur",1,0,0,0,1,1,0,0,0
Yadgir,Yadgir Town PS,2022,3,16,Non Heinous,Convicted,Typed,BURGLARY,House Breaking by Night,15.796107,75.997567,IPC Section 360,A.K.NAIK (PI),"Near Main Market / Junction, Yadgir",2,0,0,0,2,2,2,0,1
Dharwad,Dharwad Central PS,2022,2,20,Non Heinous,Convicted,Written,ASSAULT,Assault on Women,17.755564,74.799467,IPC Section 490,K.V.RAMESH (PI),"Near Main Market / Junction, Dharwad",1,2,1,0,3,3,0,0,3
Kodagu,Kodagu Cyber Crime PS,2024,6,20,Non Heinous,Pending Trial,Typed,ASSAULT,Assault on Women,17.660842,78.093879,IPC Section 337,K.V.RAMESH (PI),"Near Main Market / Junction, Kodagu",1,0,0,0,1,4,0,2,0
Koppal,Koppal Cyber Crime PS,2022,10,3,Non Heinous,Dis/Acq,Online,ASSAULT,Assault on Public Servant,14.745242,77.301274,IPC Section 493,G.H.KUPPI (PSI),"Near Main Market / Junction, Koppal",3,0,0,1,3,3,0,2,0
Bengaluru Dist,Bengaluru Dist Central PS,2022,8,21,Heinous,Convicted,Oral,MURDER,Dowry Murder,14.025595,78.47802,IPC Section 485,M.S.PATIL (PSI),"Near Main Market / Junction, Bengaluru Dist",0,1,0,0,1,4,1,0,2
Bengaluru Dist,Bengaluru Dist Cyber Crime PS,2025,8,15,Non Heinous,Convicted,Typed,THEFT,Motor Vehicle Theft,13.296548,77.002015,IPC Section 404,S.B.DEVAR (PSI),"Near Main Market / Junction, Bengaluru Dist",1,0,0,0,1,1,1,1,1
Mandya,Mandya Traffic PS,2021,3,8,Non Heinous,Convicted,Written,RIOTS,Group Clash,15.751143,76.378357,IPC Section 353,A.K.NAIK (PI),"Near Main Market / Junction, Mandya",2,1,0,0,3,2,2,2,2
Davanagere,Davanagere Town PS,2024,7,4,Non Heinous,Pending Trial,Online,ASSAULT,Grievous Hurt,15.656523,77.796003,IPC Section 316,N.S.KUMAR (PSI),"Near Main Market / Junction, Davanagere",1,0,0,1,1,1,1,1,0
Kolar,Kolar Rural PS,2024,5,21,Non Heinous,Convicted,Typed,NARCOTICS,Ganja Seizure,12.982061,76.323052,IPC Section 435,G.H.KUPPI (PSI),"Near Main Market / Junction, Kolar",0,2,0,0,2,1,1,0,1
Shivamogga,Shivamogga Traffic PS,2025,10,1,Non Heinous,Dis/Acq,Oral,THEFT,Theft from House,13.12475,77.563524,IPC Section 468,S.B.DEVAR (PSI),"Near Main Market / Junction, Shivamogga",1,0,0,1,1,1,1,1,0
Kalaburagi,Kalaburagi Rural PS,2024,6,2,Non Heinous,UI,Oral,FRAUD,Embezzlement,15.171748,76.994418,IPC Section 441,S.B.DEVAR (PSI),"Near Main Market / Junction, Kalaburagi",3,0,0,0,3,1,1,0,0
Mysuru Dist,Mysuru Dist Central PS,2024,6,3,Heinous,UI,Online,POCSO,Child Abuse,16.269965,76.326928,IPC Section 428,A.K.NAIK (PI),"Near Main Market / Junction, Mysuru Dist",0,3,0,0,3,3,0,2,0
Mysuru City,Mysuru City Rural PS,2023,2,7,Heinous,Dis/Acq,Typed,MURDER,Murder due to Enmity,15.291713,77.019671,IPC Section 399,N.S.KUMAR (PSI),"Near Main Market / Junction, Mysuru City",1,1,0,0,2,1,1,1,0
Yadgir,Yadgir Traffic PS,2023,11,5,Non Heinous,Convicted,Typed,FRAUD,Forgery,17.075854,76.587285,IPC Section 377,R S BIRADAR (PI),"Near Main Market / Junction, Yadgir",2,0,0,1,2,2,0,1,2
Raichur,Raichur Town PS,2024,9,26,Non Heinous,Pending Trial,Written,RIOTS,Political Riots,18.127515,74.299536,IPC Section 364,R S BIRADAR (PI),"Near Main Market / Junction, Raichur",3,0,0,0,3,4,1,1,0
Kalaburagi,Kalaburagi Town PS,2023,4,7,Non Heinous,Convicted,Typed,BURGLARY,Shop Burglary,16.528464,75.38417,IPC Section 371,K.V.RAMESH (PI),"Near Main Market / Junction, Kalaburagi",2,0,0,0,2,2,0,1,1
Kodagu,Kodagu Cyber Crime PS,2024,2,11,Non Heinous,UI,Oral,BURGLARY,House Breaking by Day,17.22452,75.361997,IPC Section 315,R S BIRADAR (PI),"Near Main Market / Junction, Kodagu",1,2,0,1,3,3,2,0,0
Uttara Kannada,Uttara Kannada Traffic PS,2022,10,19,Heinous,Compounded,Online,KIDNAPPING,Abduction,17.437425,75.688971,IPC Section 470,G.H.KUPPI (PSI),"Near Main Market / Junction, Uttara Kannada",3,0,0,0,3,2,0,0,0
Vijayanagara,Vijayanagara Rural PS,2024,6,9,Heinous,Convicted,Typed,KIDNAPPING,Abduction,13.527922,77.89259,IPC Section 333,K.V.RAMESH (PI),"Near Main Market / Junction, Vijayanagara",1,0,0,1,1,4,2,1,1
Mandya,Mandya Central PS,2023,5,21,Non Heinous,UI,Oral,ASSAULT,Assault on Women,12.02507,77.892696,IPC Section 360,K.V.RAMESH (PI),"Near Main Market / Junction, Mandya",1,2,0,0,3,3,3,0,0
Mysuru City,Mysuru City Central PS,2023,4,7,Non Heinous,Convicted,Online,CYBER CRIME,UPI Fraud,14.065404,78.178196,IPC Section 323,R S BIRADAR (PI),"Near Main Market / Junction, Mysuru City",1,2,1,0,3,4,4,1,4
Udupi,Udupi Traffic PS,2021,4,12,Heinous,UI,Typed,KIDNAPPING,Abduction,17.27865,74.613677,IPC Section 311,A.K.NAIK (PI),"Near Main Market / Junction, Udupi",0,3,0,0,3,1,0,0,0
Mandya,Mandya Central PS,2025,4,1,Heinous,Dis/Acq,Typed,KIDNAPPING,Kidnapping for Ransom,17.828612,77.051173,IPC Section 324,R S BIRADAR (PI),"Near Main Market / Junction, Mandya",2,0,0,1,2,3,2,0,0
Mysuru City,Mysuru City Cyber Crime PS,2021,3,27,Heinous,Pending Trial,Written,POCSO,Child Abuse,16.649974,75.808018,IPC Section 416,G.H.KUPPI (PSI),"Near Main Market / Junction, Mysuru City",0,1,0,0,1,2,1,2,0
Hubballi Dharwad City,Hubballi Dharwad City Rural PS,2022,3,16,Non Heinous,Traced,Oral,CYBER CRIME,Phishing Scam,12.056968,78.054494,IPC Section 351,N.S.KUMAR (PSI),"Near Main Market / Junction, Hubballi Dharwad City",0,1,0,0,1,1,1,0,0
Coastal Security Police,Coastal Security Police Cyber Crime PS,2023,10,27,Non Heinous,Pending Trial,Typed,RIOTS,Political Riots,12.037302,78.033181,IPC Section 375,N.S.KUMAR (PSI),"Near Main Market / Junction, Coastal Security Police",2,1,1,0,3,2,0,2,0
Uttara Kannada,Uttara Kannada Cyber Crime PS,2023,4,24,Non Heinous,Pending Trial,Oral,ASSAULT,Grievous Hurt,13.919159,78.216421,IPC Section 468,A.K.NAIK (PI),"Near Main Market / Junction, Uttara Kannada",1,1,0,1,2,4,4,0,0
Mangaluru City,Mangaluru City Town PS,2021,8,4,Non Heinous,UI,Online,ASSAULT,Assault on Women,14.985026,75.249966,IPC Section 370,R S BIRADAR (PI),"Near Main Market / Junction, Mangaluru City",3,0,0,1,3,4,2,2,0
Uttara Kannada,Uttara Kannada Traffic PS,2025,6,14,Non Heinous,Pending Trial,Written,FRAUD,Embezzlement,15.380487,78.341477,IPC Section 476,A.K.NAIK (PI),"Near Main Market / Junction, Uttara Kannada",1,0,0,0,1,3,0,3,0
Bengaluru Dist,Bengaluru Dist Traffic PS,2022,11,28,Heinous,Convicted,Online,KIDNAPPING,Kidnapping of Children,13.284581,75.62267,IPC Section 339,G.H.KUPPI (PSI),"Near Main Market / Junction, Bengaluru Dist",1,2,0,0,3,1,1,1,1
Hassan,Hassan Cyber Crime PS,2023,3,11,Non Heinous,UI,Online,BURGLARY,House Breaking by Day,16.82863,78.223951,IPC Section 390,G.H.KUPPI (PSI),"Near Main Market / Junction, Hassan",1,1,0,0,2,2,1,1,0
Bagalkot,Bagalkot Central PS,2024,1,10,Heinous,Traced,Typed,MURDER,Dowry Murder,16.673027,74.138874,IPC Section 347,N.S.KUMAR (PSI),"Near Main Market / Junction, Bagalkot",1,2,0,0,3,3,0,1,0
Bidar,Bidar Rural PS,2023,12,21,Non Heinous,Traced,Online,NARCOTICS,Ganja Seizure,12.971597,75.730083,IPC Section 485,M.S.PATIL (PSI),"Near Main Market / Junction, Bidar",3,0,0,1,3,3,2,1,0
Udupi,Udupi Traffic PS,2022,8,3,Heinous,Convicted,Oral,POCSO,POCSO Assault,15.594255,74.487821,IPC Section 360,M.S.PATIL (PSI),"Near Main Market / Junction, Udupi",0,2,0,0,2,4,0,3,1
Mysuru City,Mysuru City Rural PS,2022,7,28,Heinous,Pending Trial,Oral,KIDNAPPING,Kidnapping of Children,14.204839,76.558422,IPC Section 320,K.V.RAMESH (PI),"Near Main Market / Junction, Mysuru City",1,1,0,1,2,1,0,0,0
Chitradurga,Chitradurga Central PS,2025,2,7,Non Heinous,UI,Typed,CYBER CRIME,Phishing Scam,14.996995,78.057854,IPC Section 439,S.B.DEVAR (PSI),"Near Main Market / Junction, Chitradurga",0,3,0,0,3,4,4,2,0
Bidar,Bidar Cyber Crime PS,2022,11,19,Non Heinous,Compounded,Written,NARCOTICS,Ganja Seizure,15.613414,77.670736,IPC Section 326,M.S.PATIL (PSI),"Near Main Market / Junction, Bidar",0,1,0,0,1,2,1,0,0
Gadag,Gadag Rural PS,2023,2,3,Non Heinous,Convicted,Online,THEFT,Theft from House,11.988211,74.77542,IPC Section 476,N.S.KUMAR (PSI),"Near Main Market / Junction, Gadag",2,1,0,0,3,2,2,1,1
Bengaluru City,Bengaluru City Cyber Crime PS,2021,12,22,Non Heinous,Pending Trial,Written,RIOTS,Political Riots,16.073243,76.546697,IPC Section 357,R S BIRADAR (PI),"Near Main Market / Junction, Bengaluru City",0,2,0,0,2,1,0,1,0
Chamarajanagar,Chamarajanagar Traffic PS,2022,9,10,Non Heinous,Transfered,Written,ASSAULT,Assault on Public Servant,12.432507,74.126753,IPC Section 413,N.S.KUMAR (PSI),"Near Main Market / Junction, Chamarajanagar",0,3,0,0,3,1,0,0,0
Mysuru Dist,Mysuru Dist Town PS,2021,3,18,Non Heinous,Traced,Typed,FRAUD,Forgery,15.468132,76.21241,IPC Section 396,S.B.DEVAR (PSI),"Near Main Market / Junction, Mysuru Dist",0,2,0,0,2,4,1,0,0
Kalaburagi City,Kalaburagi City Rural PS,2022,5,27,Heinous,Convicted,Typed,KIDNAPPING,Kidnapping for Ransom,17.934741,76.791915,IPC Section 330,M.S.PATIL (PSI),"Near Main Market / Junction, Kalaburagi City",0,1,0,0,1,1,1,0,1
Kalaburagi City,Kalaburagi City Traffic PS,2021,12,8,Non Heinous,Traced,Oral,CYBER CRIME,Identity Theft,16.844983,74.196668,IPC Section 356,K.V.RAMESH (PI),"Near Main Market / Junction, Kalaburagi City",0,1,0,0,1,1,0,0,0
Mangaluru City,Mangaluru City Cyber Crime PS,2025,7,3,Non Heinous,Pending Trial,Oral,NARCOTICS,Ganja Seizure,17.132978,76.076464,IPC Section 385,K.V.RAMESH (PI),"Near Main Market / Junction, Mangaluru City",0,1,0,0,1,1,0,1,0
Gadag,Gadag Town PS,2023,12,24,Non Heinous,BoundOver,Typed,NARCOTICS,Ganja Seizure,16.158583,76.491845,IPC Section 441,R S BIRADAR (PI),"Near Main Market / Junction, Gadag",0,3,0,0,3,4,4,3,0
Yadgir,Yadgir Town PS,2023,10,28,Non Heinous,Pending Trial,Online,NARCOTICS,NDPS Possession,13.492251,74.265144,IPC Section 480,R S BIRADAR (PI),"Near Main Market / Junction, Yadgir",2,0,0,0,2,4,4,0,0
Ramanagara,Ramanagara Cyber Crime PS,2022,4,5,Heinous,Convicted,Online,POCSO,Child Abuse,13.585788,76.274174,IPC Section 366,R S BIRADAR (PI),"Near Main Market / Junction, Ramanagara",2,0,0,0,2,2,2,2,1
Hubballi Dharwad City,Hubballi Dharwad City Traffic PS,2025,7,11,Heinous,Pending Trial,Online,MURDER,Attempt to Murder,15.736556,76.534067,IPC Section 378,R S BIRADAR (PI),"Near Main Market / Junction, Hubballi Dharwad City",0,1,0,0,1,4,4,3,0
Gadag,Gadag Cyber Crime PS,2025,12,20,Non Heinous,Pending Trial,Oral,CYBER CRIME,Cyber Fraud,13.981912,77.990373,IPC Section 399,R S BIRADAR (PI),"Near Main Market / Junction, Gadag",1,1,0,0,2,2,0,1,0
Kalaburagi City,Kalaburagi City Cyber Crime PS,2024,6,26,Heinous,Convicted,Written,KIDNAPPING,Kidnapping for Ransom,17.602193,77.247318,IPC Section 491,S.B.DEVAR (PSI),"Near Main Market / Junction, Kalaburagi City",0,1,0,0,1,3,3,2,3
Bengaluru Rural,Bengaluru Rural Rural PS,2025,1,10,Non Heinous,Compounded,Online,ASSAULT,Grievous Hurt,15.037702,74.235265,IPC Section 399,M.S.PATIL (PSI),"Near Main Market / Junction, Bengaluru Rural",0,3,0,0,3,3,1,2,0
Chickballapura,Chickballapura Rural PS,2021,3,18,Non Heinous,Convicted,Typed,RIOTS,Student Riots,15.941394,75.051935,IPC Section 494,S.B.DEVAR (PSI),"Near Main Market / Junction, Chickballapura",0,2,0,0,2,2,1,1,2
Belagavi City,Belagavi City Cyber Crime PS,2024,2,26,Non Heinous,Pending Trial,Written,NARCOTICS,NDPS Possession,16.969642,77.305701,IPC Section 477,M.S.PATIL (PSI),"Near Main Market / Junction, Belagavi City",0,3,0,0,3,4,2,0,0
Belagavi City,Belagavi City Town PS,2024,5,12,Non Heinous,UI,Written,BURGLARY,House Breaking by Day,14.935421,74.445903,IPC Section 381,K.V.RAMESH (PI),"Near Main Market / Junction, Belagavi City",1,0,0,1,1,2,0,1,0
Uttara Kannada,Uttara Kannada Town PS,2024,9,16,Non Heinous,Dis/Acq,Typed,ASSAULT,Assault on Public Servant,14.48779,75.719612,IPC Section 497,A.K.NAIK (PI),"Near Main Market / Junction, Uttara Kannada",2,1,0,0,3,1,1,0,0
Belagavi City,Belagavi City Town PS,2023,9,22,Non Heinous,Dis/Acq,Typed,BURGLARY,House Breaking by Night,14.42744,74.823689,IPC Section 429,S.B.DEVAR (PSI),"Near Main Market / Junction, Belagavi City",2,1,1,1,3,4,3,3,0
Bagalkot,Bagalkot Town PS,2022,9,22,Heinous,UI,Written,MURDER,Murder for Gain,17.063437,77.150669,IPC Section 468,K.V.RAMESH (PI),"Near Main Market / Junction, Bagalkot",0,3,0,0,3,1,1,1,0
Shivamogga,Shivamogga Traffic PS,2025,10,13,Non Heinous,UI,Online,CYBER CRIME,Cyber Fraud,12.220729,77.836882,IPC Section 460,A.K.NAIK (PI),"Near Main Market / Junction, Shivamogga",0,2,0,0,2,4,1,1,0
Bidar,Bidar Town PS,2024,11,26,Non Heinous,Compounded,Typed,RIOTS,Political Riots,15.89376,74.302284,IPC Section 467,N.S.KUMAR (PSI),"Near Main Market / Junction, Bidar",1,0,0,0,1,2,1,2,0
Kalaburagi City,Kalaburagi City Traffic PS,2023,7,2,Non Heinous,Pending Trial,Written,RIOTS,Student Riots,16.958014,78.111222,IPC Section 397,R S BIRADAR (PI),"Near Main Market / Junction, Kalaburagi City",1,0,0,0,1,3,1,3,0
Mandya,Mandya Town PS,2023,8,24,Heinous,UI,Online,MURDER,Attempt to Murder,16.686398,77.272426,IPC Section 316,K.V.RAMESH (PI),"Near Main Market / Junction, Mandya",1,1,0,1,2,1,0,0,0
Mangaluru City,Mangaluru City Cyber Crime PS,2024,7,19,Non Heinous,Dis/Acq,Written,CYBER CRIME,Cyber Fraud,16.789427,75.453827,IPC Section 485,S.B.DEVAR (PSI),"Near Main Market / Junction, Mangaluru City",2,0,0,0,2,1,0,0,0
Dharwad,Dharwad Cyber Crime PS,2023,5,11,Heinous,Convicted,Typed,MURDER,Murder due to Enmity,11.854657,76.865638,IPC Section 487,R S BIRADAR (PI),"Near Main Market / Junction, Dharwad",2,0,0,0,2,4,0,1,3
Vijayanagara,Vijayanagara Central PS,2024,6,7,Non Heinous,Traced,Written,NARCOTICS,Drug Peddling,15.563372,74.678303,IPC Section 352,S.B.DEVAR (PSI),"Near Main Market / Junction, Vijayanagara",1,1,1,0,2,4,0,0,0
Shivamogga,Shivamogga Traffic PS,2023,3,17,Non Heinous,UI,Typed,RIOTS,Group Clash,14.631454,76.262147,IPC Section 456,G.H.KUPPI (PSI),"Near Main Market / Junction, Shivamogga",2,0,0,0,2,4,4,2,0
Chamarajanagar,Chamarajanagar Rural PS,2024,8,17,Non Heinous,Convicted,Oral,CYBER CRIME,Social Media Harassment,17.10594,75.418577,IPC Section 334,A.K.NAIK (PI),"Near Main Market / Junction, Chamarajanagar",1,0,0,0,1,1,1,0,1
Bengaluru City,Bengaluru City Rural PS,2024,9,7,Non Heinous,Pending Trial,Online,RIOTS,Student Riots,16.541565,77.644114,IPC Section 483,N.S.KUMAR (PSI),"Near Main Market / Junction, Bengaluru City",1,0,0,0,1,2,2,2,0
Chitradurga,Chitradurga Town PS,2023,7,5,Non Heinous,Pending Trial,Written,THEFT,Pickpocketing,17.84115,75.773772,IPC Section 319,G.H.KUPPI (PSI),"Near Main Market / Junction, Chitradurga",2,1,0,0,3,1,1,1,0
Koppal,Koppal Traffic PS,2024,8,28,Non Heinous,Traced,Oral,BURGLARY,House Breaking by Night,17.108781,75.546337,IPC Section 456,N.S.KUMAR (PSI),"Near Main Market / Junction, Koppal",0,1,0,0,1,4,2,4,0
Bidar,Bidar Traffic PS,2025,4,12,Heinous,Dis/Acq,Typed,MURDER,Dowry Murder,15.027331,77.571137,IPC Section 393,M.S.PATIL (PSI),"Near Main Market / Junction, Bidar",2,0,0,0,2,4,0,1,0
Yadgir,Yadgir Traffic PS,2021,6,24,Non Heinous,Convicted,Typed,FRAUD,Embezzlement,17.284419,75.755424,IPC Section 319,S.B.DEVAR (PSI),"Near Main Market / Junction, Yadgir",0,3,0,0,3,2,0,2,2
Bagalkot,Bagalkot Town PS,2025,12,28,Non Heinous,Convicted,Typed,FRAUD,Cheating,13.684562,76.915609,IPC Section 354,A.K.NAIK (PI),"Near Main Market / Junction, Bagalkot",3,0,0,0,3,4,3,3,3
Kalaburagi,Kalaburagi Traffic PS,2021,7,10,Non Heinous,Convicted,Oral,RIOTS,Student Riots,12.408987,74.57528,IPC Section 485,K.V.RAMESH (PI),"Near Main Market / Junction, Kalaburagi",0,2,0,0,2,4,3,2,1
Belagavi City,Belagavi City Town PS,2022,4,21,Non Heinous,UI,Oral,BURGLARY,House Breaking by Night,13.498404,77.633301,IPC Section 379,A.K.NAIK (PI),"Near Main Market / Junction, Belagavi City",2,0,0,0,2,1,1,1,0
Mandya,Mandya Rural PS,2024,3,13,Heinous,Pending Trial,Oral,KIDNAPPING,Abduction,16.254669,76.010252,IPC Section 460,G.H.KUPPI (PSI),"Near Main Market / Junction, Mandya",1,0,0,1,1,2,1,2,0
Bengaluru Rural,Bengaluru Rural Traffic PS,2024,6,24,Heinous,Pending Trial,Oral,KIDNAPPING,Kidnapping for Ransom,13.153018,75.998398,IPC Section 369,S.B.DEVAR (PSI),"Near Main Market / Junction, Bengaluru Rural",1,2,0,1,3,4,1,2,0
Belagavi Dist,Belagavi Dist Central PS,2025,10,26,Non Heinous,Convicted,Written,CYBER CRIME,Cyber Fraud,13.956571,76.057052,IPC Section 325,N.S.KUMAR (PSI),"Near Main Market / Junction, Belagavi Dist",2,1,0,0,3,1,1,0,1
Kalaburagi,Kalaburagi Traffic PS,2024,4,9,Non Heinous,Pending Trial,Online,BURGLARY,Shop Burglary,14.204023,77.085959,IPC Section 434,S.B.DEVAR (PSI),"Near Main Market / Junction, Kalaburagi",2,1,0,0,3,1,0,1,0
Mysuru City,Mysuru City Central PS,2021,1,2,Non Heinous,Pending Trial,Typed,RIOTS,Communal Riots,15.637735,74.666545,IPC Section 306,M.S.PATIL (PSI),"Near Main Market / Junction, Mysuru City",0,1,0,0,1,4,3,2,0
Kalaburagi City,Kalaburagi City Town PS,2021,10,17,Non Heinous,Convicted,Typed,THEFT,Motor Vehicle Theft,15.172092,77.646291,IPC Section 405,S.B.DEVAR (PSI),"Near Main Market / Junction, Kalaburagi City",0,1,0,0,1,2,0,1,1
